{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar
73;0.000109377;0.000191089;5.87E-06;0.000114155;0;0.134936437;0.374785875;0.356301162;0
74;8.59E-05;0.000199397;2.35E-06;0.000114155;0;0.165299196;0.333129739;0.356301162;0
75;6.80E-05;0.000207705;1.17E-06;0.000114155;0;0.151368362;0.246317748;0.35627253;0
76;6.07E-05;0.000211029;1.41E-05;0.000114155;0;0.155530908;0.233182393;0.35627253;0
77;5.77E-05;0.000216014;3.76E-05;0.000114155;0;0.165860438;0.219320416;0.35627253;0
78;5.75E-05;0.000220999;9.40E-05;0.000114155;0;0.171976196;0.158666807;0.35627253;0
79;6.82E-05;0.000224322;0.0001821;0.000114155;0;0.12588752;0.183968689;0.356243899;0
80;7.64E-05;0.000225983;0.000158603;0.000114155;0;0.096967956;0.166828138;0.356243899;0
81;9.76E-05;0.000225983;0.000146855;0.000114155;1.20E-05;0.110874291;0.132813816;0.356243899;0
82;0.000114142;0.000216014;0.000164478;0.000114155;0.023863293;0.117969996;0.089802724;0.356243899;0.029166247
83;0.00012621;0.00020272;0.000187974;0.000114155;0.10634011;0.100277503;0.051354956;0.356224811;0.118155678
84;0.000137893;0.000182781;0.000206772;0.000114155;0.200073391;0.084068293;0.038570626;0.356224811;0.41878716
85;0.000139738;0.000176134;0.000187974;0.000114155;0.27124573;0.076380166;0.041491154;0.356224811;0.30363328
86;0.000136356;0.000182781;0.000190324;0.000114155;0.28491656;0.059932651;0.038510952;0.356224811;0
87;0.000126402;0.000184442;0.000213821;0.000114155;0.226070689;0.053919341;0.030528644;0.356196179;0.030142759
88;0.000122521;0.000191089;0.00022322;0.000114155;0.12198976;0.056222216;0.042888234;0.356196179;0.106249146
89;0.00012817;0.000201059;0.00022322;0.000114155;0.024515755;0.058237789;0.035211317;0.356196179;0
90;0.000155879;0.000204382;0.000164478;0.000114155;0;0.095270866;0.041754423;0.356196179;0
91;0.00016076;0.000209367;0.000117484;0.000114155;0;0.10069398;0.04255827;0.356177092;0
92;0.000147463;0.00021269;8.81E-05;0.000114155;0;0.071462615;0.103755967;0.356177092;0
93;0.000129054;0.000216014;5.87E-05;0.000114155;0;0.090489172;0.181090284;0.356177092;0
94;0.000111721;0.000220999;3.76E-05;0.000114155;0;0.119575772;0.252829261;0.356177092;0
95;0.000118293;0.000224322;2.35E-05;0.000114155;0;0.128825133;0.315603061;0.35614846;0
96;0.000118024;0.000227645;9.40E-06;0.000114155;0;0.163524156;0.194692502;0.35614846;0
97;9.52E-05;0.00023263;5.87E-06;0.000114155;0;0.215218573;0.079142095;0.35614846;0
98;7.46E-05;0.000234292;2.35E-06;0.000114155;0;0.251770586;0.103689273;0.35614846;0
99;5.80E-05;0.000239277;1.17E-06;0.000114155;0;0.223214047;0.198051811;0.356119828;0
100;5.10E-05;0.000245923;1.41E-05;0.000114155;0;0.276024267;0.290083544;0.356119828;0
101;4.93E-05;0.000237615;3.76E-05;0.000114155;0;0.282979662;0.306055181;0.356119828;0
102;4.93E-05;0.000237615;9.40E-05;0.000114155;0;0.25071937;0.183196434;0.356119828;0
103;5.67E-05;0.000237615;0.0001821;0.000114155;0;0.188953773;0.065754002;0.356100741;0
104;5.76E-05;0.000237615;0.000158603;0.000114155;0;0.210189664;0.139490312;0.356100741;0
105;7.26E-05;0.000239277;0.000146855;0.000114155;3.09E-05;0.213158457;0.190139708;0.356100741;0
106;8.60E-05;0.000230968;0.000164478;0.000114155;0.025061902;0.230911083;0.302562482;0.356100741;0
107;0.000100999;0.00022266;0.000187974;0.000114155;0.106314389;0.257440914;0.337633389;0.356072109;0
108;0.000117102;0.000216014;0.000206772;0.000114155;0.197698465;0.231528004;0.3084246;0.356072109;0
109;0.000125134;0.00021269;0.000187974;0.000114155;0.24308442;0.158221308;0.252049986;0.356072109;0
110;0.000121175;0.000211029;0.000190324;0.000114155;0.234327201;0.109573634;0.23735257;0.356072109;0
111;0.000111452;0.000211029;0.000213821;0.000114155;0.171580278;0.087043768;0.214929093;0.356072109;0
112;0.000108724;0.000214352;0.00022322;0.000114155;0.08878709;0.080344496;0.233256108;0.356053021;0
113;0.000113758;0.000219337;0.00022322;0.000114155;0.017575312;0.092947947;0.24058902;0.356053021;0
114;0.000146502;0.00022266;0.000164478;0.000114155;0;0.096081549;0.196114153;0.356053021;0
115;0.000159992;0.000225983;0.000117484;0.000114155;0;0.101155001;0.197911401;0.356053021;0
116;0.000153497;0.000229307;8.81E-05;0.000114155;0;0.116431034;0.237970373;0.35602439;0
117;0.00013847;0.00023263;5.87E-05;0.000114155;0;0.121887556;0.219973322;0.35602439;0
118;0.000118677;0.000235953;3.76E-05;0.000114155;0;0.121428762;0.172349761;0.35602439;0
119;0.000120868;0.000239277;2.35E-05;0.000114155;0;0.091524797;0.116926425;0.35602439;0
120;0.000114411;0.0002426;9.40E-06;0.000114155;0;0.077963671;0.107525976;0.356005302;0
121;8.93E-05;0.000249246;5.87E-06;0.000114155;0;0.085527078;0.092161612;0.356005302;0
122;7.19E-05;0.000255893;2.35E-06;0.000114155;0;0.102838727;0.122100534;0.356005302;0
123;5.90E-05;0.000264201;1.17E-06;0.000114155;0;0.145649037;0.146012356;0.356005302;0
124;4.94E-05;0.000269186;1.41E-05;0.000114155;0;0.184018405;0.148511654;0.35597667;0
125;5.28E-05;0.000272509;3.76E-05;0.000114155;0;0.174679958;0.145829823;0.35597667;0
126;7.49E-05;0.000277494;9.40E-05;0.000114155;0;0.168539701;0.142063325;0.35597667;0
127;0.000121329;0.000279156;0.0001821;0.000114155;0;0.160537545;0.100719601;0.35597667;0
128;0.000164219;0.000282479;0.000158603;0.000114155;0;0.204577242;0.107747122;0.355948039;0
129;0.00018478;0.000282479;0.000146855;0.000114155;9.60E-05;0.228396629;0.126776186;0.355948039;0
130;0.000187278;0.00026254;0.000164478;0.000114155;0.023551209;0.279400629;0.148852148;0.355948039;0.089222849
131;0.000188931;0.000239277;0.000187974;0.000114155;0.094808428;0.254937595;0.146640691;0.355948039;0.292669495
132;0.000191006;0.000217675;0.000206772;0.000114155;0.176888281;0.238432174;0.22233221;0.355928951;0.431651906
133;0.000179092;0.00020272;0.000187974;0.000114155;0.193060928;0.22247686;0.307220584;0.355928951;0.424285063
134;0.000181167;0.000196074;0.000190324;0.000114155;0.167363712;0.159452922;0.353755967;0.355928951;0.428284779
135;0.000180284;0.000197736;0.000213821;0.000114155;0.114083056;0.123161486;0.427436113;0.355928951;0.287976646
136;0.000177516;0.000209367;0.00022322;0.000114155;0.045746053;0.136508806;0.591824628;0.355900319;0.194166581
137;0.000181475;0.000225983;0.00022322;0.000114155;0.007413714;0.195481555;0.73244875;0.355900319;0
138;0.00021076;0.000227645;0.000164478;0.000114155;0;0.266941943;0.830497051;0.355900319;0
139;0.00021418;0.000230968;0.000117484;0.000114155;0;0.292834808;0.704254423;0.355900319;0
140;0.000190353;0.00023263;8.81E-05;0.000114155;0;0.360618168;0.706269306;0.355881232;0
141;0.000169753;0.000235953;5.87E-05;0.000114155;0;0.377704876;0.69382547;0.355881232;0
142;0.000148308;0.000239277;3.76E-05;0.000114155;0;0.330683023;0.677183375;0.355881232;0
143;0.000152574;0.000240938;2.35E-05;0.000114155;0;0.257518864;0.609393429;0.355881232;0
144;0.000143197;0.000244262;9.40E-06;0.000114155;0;0.194156399;0.391775484;0.3558526;0
145;0.000116487;0.000244262;5.87E-06;0.000114155;0;0.130862977;0.296577506;0.3558526;0
146;9.47E-05;0.000244262;2.35E-06;0.000114155;0;0.110462268;0.280117944;0.3558526;0
147;8.01E-05;0.000244262;1.17E-06;0.000114155;0;0.115687165;0.245457737;0.3558526;0
148;7.41E-05;0.0002426;1.41E-05;0.000114155;0;0.129139161;0.126698961;0.355823969;0
149;8.01E-05;0.0002426;3.76E-05;0.000114155;0;0.116328585;0.087693064;0.355823969;0
150;9.90E-05;0.0002426;9.40E-05;0.000114155;0;0.103239615;0.131437798;0.355823969;0
151;0.00014166;0.000240938;0.0001821;0.000114155;0;0.093636137;0.216224375;0.355823969;0
152;0.000180745;0.000240938;0.000158603;0.000114155;0;0.103671682;0.323072873;0.355804881;0
153;0.000198462;0.000239277;0.000146855;0.000114155;2.57E-05;0.151887288;0.417965459;0.355804881;0
154;0.000190161;0.000237615;0.000164478;0.000114155;0.029673718;0.232084792;0.521430076;0.355804881;0
155;0.000185088;0.000235953;0.000187974;0.000114155;0.129636679;0.223452352;0.570313816;0.355804881;0
156;0.000190199;0.000227645;0.000206772;0.000114155;0.241045585;0.204889043;0.579261443;0.355776249;0
157;0.000176671;0.000224322;0.000187974;0.000114155;0.309007058;0.197539443;0.666757933;0.355776249;0
158;0.000179361;0.000196074;0.000190324;0.000114155;0.269303778;0.171671076;0.774536647;0.355776249;0.516726624
159;0.000177824;0.000182781;0.000213821;0.000114155;0.178174342;0.197234323;0.813563606;0.355776249;0.58352097
160;0.000178862;0.000181119;0.00022322;0.000114155;0.081111877;0.248581304;0.881156978;0.355757161;0.40105317
161;0.000183819;0.000189427;0.00022322;0.000114155;0.014042073;0.285322625;0.900926706;0.355757161;0
162;0.000216871;0.000194412;0.000164478;0.000114155;0;0.356912188;0.906757231;0.355757161;0
163;0.000222712;0.000199397;0.000117484;0.000114155;0;0.41893168;0.918600814;0.355757161;0
164;0.000202305;0.00020272;8.81E-05;0.000114155;0;0.479467889;0.920320837;0.35572853;0
165;0.000177516;0.000207705;5.87E-05;0.000114155;0;0.451782167;0.92542474;0.35572853;0
166;0.00015807;0.00021269;3.76E-05;0.000114155;0;0.505240488;0.924192643;0.35572853;0
167;0.000159876;0.000216014;2.35E-05;0.000114155;0;0.55388148;0.925814378;0.35572853;0
168;0.000153266;0.000220999;9.40E-06;0.000114155;0;0.636266047;0.926874473;0.355699898;0
169;0.000125787;0.000227645;5.87E-06;0.000114155;0;0.673348122;0.930658523;0.355699898;0
170;0.000101844;0.000235953;2.35E-06;0.000114155;0;0.667965096;0.925730132;0.355699898;0
171;8.31E-05;0.000244262;1.17E-06;0.000114155;0;0.707568307;0.92429093;0.355699898;0
172;7.84E-05;0.000249246;1.41E-05;0.000114155;0;0.705214207;0.924915754;0.355680811;0
173;8.78E-05;0.000254231;3.76E-05;0.000114155;0;0.671241236;0.914672845;0.355680811;0
174;0.000106764;0.000257555;9.40E-05;0.000114155;0;0.643110084;0.922883319;0.355680811;0
175;0.00014827;0.000260878;0.0001821;0.000114155;0;0.663778051;0.924269868;0.355680811;0
176;0.000186663;0.000264201;0.000158603;0.000114155;0;0.671374865;0.910959;0.355652179;0
177;0.000200038;0.000264201;0.000146855;0.000114155;0;0.681889248;0.884463634;0.355652179;0
178;0.000198193;0.00026254;0.000164478;0.000114155;0.001319499;0.701203107;0.884161752;0.355652179;0
179;0.000193927;0.000260878;0.000187974;0.000114155;0.008421986;0.74862362;0.879654591;0.355652179;0
180;0.000192966;0.000257555;0.000206772;0.000114155;0.010494259;0.77958771;0.444769728;0.355633091;0
181;0.000187662;0.000257555;0.000187974;0.000114155;0.011951795;0.778926246;0.120889497;0.355633091;0
182;0.000188815;0.000245923;0.000190324;0.000114155;0.013182984;0.791625464;0.49171581;0.355633091;0.017841632
183;0.000184204;0.000249246;0.000213821;0.000114155;0.006466315;0.797371516;0.464069082;0.355633091;0.004310877
184;0.000186164;0.000245923;0.00022322;0.000114155;0.006782687;0.756242706;0.258245577;0.35560446;0.013896237
185;0.000183512;0.000249246;0.00022322;0.000114155;0.009075305;0.634390785;0.512559674;0.35560446;0
186;0.000215449;0.000255893;0.000164478;0.000114155;0;0.458200818;0.484712862;0.35560446;0
187;0.000221444;0.00026254;0.000117484;0.000114155;0;0.4555171;0.753148694;0.35560446;0
188;0.000199922;0.000267525;8.81E-05;0.000114155;0;0.458610614;0.884495226;0.355575828;0
189;0.000178554;0.000274171;5.87E-05;0.000114155;0;0.499385306;0.881897641;0.355575828;0
190;0.000156763;0.000280818;3.76E-05;0.000114155;0;0.547095349;0.872451559;0.355575828;0
191;0.000162759;0.000287464;2.35E-05;0.000114155;0;0.610600351;0.811366189;0.355575828;0
192;0.000155072;0.000292449;9.40E-06;0.000114155;0;0.579010432;0.651070626;0.355575828;0
193;0.000123674;0.000297434;5.87E-06;0.000114155;0;0.650337191;0.775624824;0.35555674;0
194;9.81E-05;0.000300757;2.35E-06;0.000114155;0;0.713069371;0.745240101;0.35555674;0
195;8.42E-05;0.000305742;1.17E-06;0.000114155;0;0.800890415;0.856199101;0.35555674;0
196;7.86E-05;0.000307404;1.41E-05;0.000114155;0;0.791246849;0.910962511;0.35555674;0
197;8.21E-05;0.000309066;3.76E-05;0.000114155;0;0.822518285;0.911991014;0.355528109;0
198;0.000100307;0.000312389;9.40E-05;0.000114155;0;0.899956348;0.911991014;0.355528109;0
199;0.000141429;0.000312389;0.0001821;0.000114155;0;0.894818309;0.826207526;0.355528109;0
200;0.000179092;0.000314051;0.000158603;0.000114155;0;0.894196934;0.863237152;0.355528109;0
201;0.000196041;0.000314051;0.000146855;0.000114155;1.71E-06;0.912308131;0.906241224;0.355509021;0
202;0.000197924;0.000294111;0.000164478;0.000114155;0.000761348;0.895662399;0.904419405;0.355509021;0.002740853
203;0.00019827;0.000269186;0.000187974;0.000114155;0.00933166;0.875125834;0.90842109;0.355509021;0.020035623
204;0.000203804;0.000247585;0.000206772;0.000114155;0.022503498;0.85323516;0.916596462;0.355509021;0.035181525
205;0.000196194;0.00023263;0.000187974;0.000114155;0.032456754;0.861393217;0.917312553;0.355480389;0.05564015
206;0.000198308;0.00022266;0.000190324;0.000114155;0.03933118;0.850849881;0.914525414;0.355480389;0.077886087
207;0.000193312;0.000220999;0.000213821;0.000114155;0.047584263;0.837700778;0.922451559;0.355480389;0.117230321
208;0.000194926;0.000230968;0.00022322;0.000114155;0.017768221;0.841297628;0.928605027;0.355480389;0.07071752
209;0.000195618;0.000247585;0.00022322;0.000114155;0.000735627;0.866431034;0.905216231;0.355451758;0
210;0.000221559;0.000250908;0.000164478;0.000114155;0;0.863141531;0.604286015;0.355451758;0
211;0.000223404;0.000254231;0.000117484;0.000114155;0;0.884762719;0.418590284;0.355451758;0
212;0.000205918;0.000257555;8.81E-05;0.000114155;0;0.905408415;0.418590284;0.355451758;0
213;0.000181975;0.000260878;5.87E-05;0.000114155;0;0.90270688;0.418590284;0.35543267;0
214;0.000158185;0.000264201;3.76E-05;0.000114155;0;0.877168132;0.418590284;0.35543267;0
215;0.000165257;0.000269186;2.35E-05;0.000114155;0;0.86443996;0.454882758;0.35543267;0
216;0.000159799;0.000272509;9.40E-06;0.000114155;0;0.884272746;0.766677197;0.35543267;0
217;0.000132244;0.000275833;5.87E-06;0.000114155;0;0.878978806;0.878980623;0.355356319;0
218;0.000108993;0.000279156;2.35E-06;0.000114155;0;0.880450954;0.895759618;0.355203617;0
219;9.55E-05;0.000282479;1.17E-06;0.000114155;0;0.867431025;0.890989188;0.355031828;0
220;9.19E-05;0.000282479;1.41E-05;0.000114155;0;0.855435586;0.7293492;0.35488867;0
221;9.75E-05;0.000284141;3.76E-05;0.000114155;0;0.833698586;0.676505897;0.35471688;0
222;0.000110799;0.000285803;9.40E-05;0.000114155;0;0.842023679;0.637064729;0.354564178;0
223;0.000152959;0.000285803;0.0001821;0.000114155;0;0.846413395;0.565915473;0.354411476;0
224;0.00019262;0.000287464;0.000158603;0.000114155;0;0.835703023;0.51882547;0.354239687;0
225;0.000204726;0.000285803;0.000146855;0.000114155;4.29E-06;0.836640654;0.435478096;0.354096529;0
226;0.000199499;0.000259216;0.000164478;0.000114155;0.003255449;0.829008205;0.424003089;0.353924739;0.015870314
227;0.000195157;0.000227645;0.000187974;0.000114155;0.017511009;0.829798844;0.425442291;0.353772037;0.057910423
228;0.000196732;0.000199397;0.000206772;0.000114155;0.032476474;0.80851841;0.425442291;0.353600248;0.093391806
229;0.00018651;0.000177796;0.000187974;0.000114155;0.034674781;0.840738613;0.425442291;0.353447546;0.093825878
230;0.000184319;0.000166164;0.000190324;0.000114155;0.036726477;0.84655816;0.633642235;0.353304388;0.099920639
231;0.000179707;0.000166164;0.000213821;0.000114155;0.030386196;0.846578204;0.866442011;0.353132598;0.094775992
232;0.000178938;0.000179457;0.00022322;0.000114155;0.022343169;0.845662845;0.887127914;0.352979896;0.099388579
233;0.000181244;0.000199397;0.00022322;0.000114155;0.009332517;0.79550739;0.889774642;0.352808107;0
234;0.000209876;0.000204382;0.000164478;0.000114155;0;0.666960651;0.891596462;0.352655405;0
235;0.000210337;0.000209367;0.000117484;0.000114155;0;0.568769989;0.892754844;0.352483615;0
236;0.000190314;0.000214352;8.81E-05;0.000114155;0;0.491853079;0.891315642;0.352330913;0
237;0.000172636;0.000219337;5.87E-05;0.000114155;0;0.430234475;0.892853131;0.352187755;0
238;0.000149999;0.000224322;3.76E-05;0.000114155;0;0.377393074;0.8932533;0.352015966;0
239;0.000161529;0.000229307;2.35E-05;0.000114155;0;0.319288915;0.892547739;0.351863264;0
240;0.000161721;0.000234292;9.40E-06;0.000114155;0;0.335533759;0.892754844;0.351691474;0
241;0.000130284;0.000240938;5.87E-06;0.000114155;0;0.356043599;0.892754844;0.351538773;0
242;0.000106302;0.000247585;2.35E-06;0.000114155;0;0.46465733;0.892754844;0.351395615;0
243;9.27E-05;0.00025257;1.17E-06;0.000114155;0;0.470750817;0.892754844;0.351223825;0
244;7.93E-05;0.000255893;1.41E-05;0.000114155;0;0.534801472;0.892547739;0.351071123;0
245;7.26E-05;0.000257555;3.76E-05;0.000114155;0;0.583950254;0.888647852;0.350899334;0
246;7.52E-05;0.000260878;9.40E-05;0.000114155;0;0.659230207;0.886183656;0.350746632;0
247;8.60E-05;0.00026254;0.0001821;0.000114155;0;0.673105362;0.886183656;0.350574842;0
248;9.37E-05;0.000264201;0.000158603;0.000114155;0;0.711488094;0.886183656;0.350431684;0
249;0.000120561;0.00026254;0.000146855;0.000114155;9.43E-06;0.738935511;0.891522746;0.350278982;0
250;0.000137432;0.00023263;0.000164478;0.000114155;0.014186969;0.735797454;0.892754844;0.350107193;0.084685292
251;0.000146464;0.000197736;0.000187974;0.000114155;0.078154794;0.718356629;0.892291491;0.349954491;0.312091103
252;0.000147271;0.000164503;0.000206772;0.000114155;0.135687168;0.73957693;0.893769306;0.349782701;0.453347314
253;0.000147578;0.00014124;0.000187974;0.000114155;0.174208987;0.761358473;0.889999298;0.349639543;0.544866406
254;0.00015073;0.000127947;0.000190324;0.000114155;0.170490555;0.784220185;0.886998034;0.349467754;0.557311107
255;0.000134434;0.000127947;0.000213821;0.000114155;0.147428907;0.764601206;0.894748666;0.349315052;0.566127003
256;0.000127363;0.00014124;0.00022322;0.000114155;0.077451747;0.703122912;0.898497613;0.34916235;0.410378659
257;0.000128747;0.000164503;0.00022322;0.000114155;0.015346139;0.636711477;0.895057568;0.34899056;0
258;0.000159684;0.000177796;0.000164478;0.000114155;0;0.637352897;0.899311991;0.348847402;0
259;0.00017252;0.000191089;0.000117484;0.000114155;0;0.712668484;0.896851306;0.348666069;0
260;0.000160414;0.00020272;8.81E-05;0.000114155;0;0.752770577;0.899311991;0.348522911;0
261;0.000138623;0.000216014;5.87E-05;0.000114155;0;0.760429751;0.899311991;0.348370209;0
262;0.000121444;0.000229307;3.76E-05;0.000114155;0;0.727830932;0.898079893;0.348198419;0
263;0.000128708;0.0002426;2.35E-05;0.000114155;0;0.750868589;0.899311991;0.348055261;0
264;0.000133627;0.000255893;9.40E-06;0.000114155;0;0.781794817;0.899311991;0.347873928;0
265;0.000115257;0.000272509;5.87E-06;0.000114155;0;0.759639112;0.897876299;0.34773077;0
266;9.76E-05;0.000290788;2.35E-06;0.000114155;0;0.72318064;0.899311991;0.34755898;0
267;8.34E-05;0.000310727;1.17E-06;0.000114155;0;0.752897524;0.893467425;0.347406278;0
268;7.18E-05;0.000320697;1.41E-05;0.000114155;0;0.787347106;0.889065571;0.34726312;0
269;6.89E-05;0.000332329;3.76E-05;0.000114155;0;0.810373627;0.893976411;0.347081787;0
270;6.66E-05;0.000342298;9.40E-05;0.000114155;0;0.806752278;0.893772817;0.346938629;0
271;6.99E-05;0.000350607;0.0001821;0.000114155;0;0.834593901;0.885544791;0.346766839;0
