,Electricity (%_elec),Space Heating (%_sh),Passanger mobility (%_pass),Freight mobility (%_freight),PV,Wind_onshore,Wind_offshore,Hydro_river,Solar
189,0.000179,0.000274,5.87e-05,0.000114,0.0,0.499,0.882,0.356,0.0
190,0.000157,0.000281,3.76e-05,0.000114,0.0,0.547,0.872,0.356,0.0
191,0.000163,0.000287,2.35e-05,0.000114,0.0,0.611,0.811,0.356,0.0
192,0.000155,0.000292,9.4e-06,0.000114,0.0,0.579,0.651,0.356,0.0
193,0.000124,0.000297,5.87e-06,0.000114,0.0,0.65,0.776,0.356,0.0
194,9.81e-05,0.000301,2.35e-06,0.000114,0.0,0.713,0.745,0.356,0.0
195,8.42e-05,0.000306,1.17e-06,0.000114,0.0,0.801,0.856,0.356,0.0
196,7.86e-05,0.000307,1.41e-05,0.000114,0.0,0.791,0.911,0.356,0.0
197,8.21e-05,0.000309,3.76e-05,0.000114,0.0,0.823,0.912,0.356,0.0
198,0.0001,0.000312,9.4e-05,0.000114,0.0,0.9,0.912,0.356,0.0
199,0.000141,0.000312,0.000182,0.000114,0.0,0.895,0.826,0.356,0.0
200,0.000179,0.000314,0.000159,0.000114,0.0,0.894,0.863,0.356,0.0
201,0.000196,0.000314,0.000147,0.000114,1.71e-06,0.912,0.906,0.356,0.0
202,0.000198,0.000294,0.000164,0.000114,0.000761,0.896,0.904,0.356,0.00274
203,0.000198,0.000269,0.000188,0.000114,0.00933,0.875,0.908,0.356,0.02
204,0.000204,0.000248,0.000207,0.000114,0.0225,0.853,0.917,0.356,0.0352
205,0.000196,0.000233,0.000188,0.000114,0.0325,0.861,0.917,0.355,0.0556
206,0.000198,0.000223,0.00019,0.000114,0.0393,0.851,0.915,0.355,0.0779
207,0.000193,0.000221,0.000214,0.000114,0.0476,0.838,0.922,0.355,0.117
208,0.000195,0.000231,0.000223,0.000114,0.0178,0.841,0.929,0.355,0.0707
209,0.000196,0.000248,0.000223,0.000114,0.000736,0.866,0.905,0.355,0.0
210,0.000222,0.000251,0.000164,0.000114,0.0,0.863,0.604,0.355,0.0
211,0.000223,0.000254,0.000117,0.000114,0.0,0.885,0.419,0.355,0.0
212,0.000206,0.000258,8.81e-05,0.000114,0.0,0.905,0.419,0.355,0.0
213,0.000182,0.000261,5.87e-05,0.000114,0.0,0.903,0.419,0.355,0.0
214,0.000158,0.000264,3.76e-05,0.000114,0.0,0.877,0.419,0.355,0.0
215,0.000165,0.000269,2.35e-05,0.000114,0.0,0.864,0.455,0.355,0.0
216,0.00016,0.000273,9.4e-06,0.000114,0.0,0.884,0.767,0.355,0.0
217,0.000132,0.000276,5.87e-06,0.000114,0.0,0.879,0.879,0.355,0.0
218,0.000109,0.000279,2.35e-06,0.000114,0.0,0.88,0.896,0.355,0.0
219,9.55e-05,0.000282,1.17e-06,0.000114,0.0,0.867,0.891,0.355,0.0
220,9.19e-05,0.000282,1.41e-05,0.000114,0.0,0.855,0.729,0.355,0.0
221,9.75e-05,0.000284,3.76e-05,0.000114,0.0,0.834,0.677,0.355,0.0
222,0.000111,0.000286,9.4e-05,0.000114,0.0,0.842,0.637,0.355,0.0
223,0.000153,0.000286,0.000182,0.000114,0.0,0.846,0.566,0.354,0.0
224,0.000193,0.000287,0.000159,0.000114,0.0,0.836,0.519,0.354,0.0
225,0.000205,0.000286,0.000147,0.000114,4.29e-06,0.837,0.435,0.354,0.0
226,0.000199,0.000259,0.000164,0.000114,0.00326,0.829,0.424,0.354,0.0159
227,0.000195,0.000228,0.000188,0.000114,0.0175,0.83,0.425,0.354,0.0579
228,0.000197,0.000199,0.000207,0.000114,0.0325,0.809,0.425,0.354,0.0934
229,0.000187,0.000178,0.000188,0.000114,0.0347,0.841,0.425,0.353,0.0938
230,0.000184,0.000166,0.00019,0.000114,0.0367,0.847,0.634,0.353,0.0999
231,0.00018,0.000166,0.000214,0.000114,0.0304,0.847,0.866,0.353,0.0948
232,0.000179,0.000179,0.000223,0.000114,0.0223,0.846,0.887,0.353,0.0994
233,0.000181,0.000199,0.000223,0.000114,0.00933,0.796,0.89,0.353,0.0
234,0.00021,0.000204,0.000164,0.000114,0.0,0.667,0.892,0.353,0.0
235,0.00021,0.000209,0.000117,0.000114,0.0,0.569,0.893,0.352,0.0
236,0.00019,0.000214,8.81e-05,0.000114,0.0,0.492,0.891,0.352,0.0
237,0.000173,0.000219,5.87e-05,0.000114,0.0,0.43,0.893,0.352,0.0
238,0.00015,0.000224,3.76e-05,0.000114,0.0,0.377,0.893,0.352,0.0
239,0.000162,0.000229,2.35e-05,0.000114,0.0,0.319,0.893,0.352,0.0
240,0.000162,0.000234,9.4e-06,0.000114,0.0,0.336,0.893,0.352,0.0
241,0.00013,0.000241,5.87e-06,0.000114,0.0,0.356,0.893,0.352,0.0
242,0.000106,0.000248,2.35e-06,0.000114,0.0,0.465,0.893,0.351,0.0
243,9.27e-05,0.000253,1.17e-06,0.000114,0.0,0.471,0.893,0.351,0.0
244,7.93e-05,0.000256,1.41e-05,0.000114,0.0,0.535,0.893,0.351,0.0
245,7.26e-05,0.000258,3.76e-05,0.000114,0.0,0.584,0.889,0.351,0.0
246,7.52e-05,0.000261,9.4e-05,0.000114,0.0,0.659,0.886,0.351,0.0
247,8.6e-05,0.000263,0.000182,0.000114,0.0,0.673,0.886,0.351,0.0
248,9.37e-05,0.000264,0.000159,0.000114,0.0,0.711,0.886,0.35,0.0
249,0.000121,0.000263,0.000147,0.000114,9.43e-06,0.739,0.892,0.35,0.0
250,0.000137,0.000233,0.000164,0.000114,0.0142,0.736,0.893,0.35,0.0847
251,0.000146,0.000198,0.000188,0.000114,0.0782,0.718,0.892,0.35,0.312
252,0.000147,0.000165,0.000207,0.000114,0.136,0.74,0.894,0.35,0.453
253,0.000148,0.000141,0.000188,0.000114,0.174,0.761,0.89,0.35,0.545
254,0.000151,0.000128,0.00019,0.000114,0.17,0.784,0.887,0.349,0.557
255,0.000134,0.000128,0.000214,0.000114,0.147,0.765,0.895,0.349,0.566
256,0.000127,0.000141,0.000223,0.000114,0.0775,0.703,0.898,0.349,0.41
257,0.000129,0.000165,0.000223,0.000114,0.0153,0.637,0.895,0.349,0.0
258,0.00016,0.000178,0.000164,0.000114,0.0,0.637,0.899,0.349,0.0
259,0.000173,0.000191,0.000117,0.000114,0.0,0.713,0.897,0.349,0.0
260,0.00016,0.000203,8.81e-05,0.000114,0.0,0.753,0.899,0.349,0.0
261,0.000139,0.000216,5.87e-05,0.000114,0.0,0.76,0.899,0.348,0.0
262,0.000121,0.000229,3.76e-05,0.000114,0.0,0.728,0.898,0.348,0.0
263,0.000129,0.000243,2.35e-05,0.000114,0.0,0.751,0.899,0.348,0.0
264,0.000134,0.000256,9.4e-06,0.000114,0.0,0.782,0.899,0.348,0.0
265,0.000115,0.000273,5.87e-06,0.000114,0.0,0.76,0.898,0.348,0.0
266,9.76e-05,0.000291,2.35e-06,0.000114,0.0,0.723,0.899,0.348,0.0
267,8.34e-05,0.000311,1.17e-06,0.000114,0.0,0.753,0.893,0.347,0.0
268,7.18e-05,0.000321,1.41e-05,0.000114,0.0,0.787,0.889,0.347,0.0
269,6.89e-05,0.000332,3.76e-05,0.000114,0.0,0.81,0.894,0.347,0.0
270,6.66e-05,0.000342,9.4e-05,0.000114,0.0,0.807,0.894,0.347,0.0
271,6.99e-05,0.000351,0.000182,0.000114,0.0,0.835,0.886,0.347,0.0
272,7.69e-05,0.000359,0.000159,0.000114,0.0,0.851,0.837,0.347,0.0
